Participant_Code,Outage_Reason,Year,Total_Number_Outages,Average_Outage_Duration_In_Days,Risk_Classification
AURICON,Opportunistic Maintenance (Planned),2016,3,0.33,Low Risk
ENRG,Opportunistic Maintenance (Planned),2017,3,0.35,Low Risk
EUCT,Forced,2017,3,0.03,Low Risk
PUG,Opportunistic Maintenance (Planned),2017,3,0.24,Low Risk
AUXC,Scheduled (Planned),2016,2,1.25,High Risk
MCG,Consequential,2016,2,0.26,Low Risk
MCG,Consequential,2017,2,0.23,Low Risk
STHRNCRS,Consequential,2017,2,0.26,Low Risk
TSLA_MGT,Forced,2016,2,0.25,Low Risk
WGUTD,Forced,2016,2,0.02,Low Risk
WGUTD,Opportunistic Maintenance (Planned),2017,2,0.05,Low Risk
AUXC,Consequential,2016,1,0.96,Medium Risk
AUXC,Consequential,2017,1,0.1,Low Risk
AUXC,Scheduled (Planned),2017,1,2.88,High Risk
DNHR,Forced,2016,1,0.4,Low Risk
DNHR,Forced,2017,1,0.48,Low Risk
MCG,Forced,2016,1,0.79,Medium Risk
MCG,Scheduled (Planned),2016,1,1.42,High Risk
PMC,Opportunistic Maintenance (Planned),2016,1,0.08,Low Risk
PMC,Opportunistic Maintenance (Planned),2017,1,0.25,Low Risk
STHRNCRS,Opportunistic Maintenance (Planned),2017,1,0.06,Low Risk
TRMOS,Opportunistic Maintenance (Planned),2016,1,0.06,Low Risk
WGUTD,Consequential,2017,1,0.04,Low Risk
WGUTD,Opportunistic Maintenance (Planned),2016,1,0.6,Medium Risk
WGUTD,Scheduled (Planned),2017,1,10.58,High Risk
