Description_Of_Outage,Total_Energy_Lost,Facility_Code,Participant_Code,rank
Unit offline for WP switching,156.0,BW1_GREENWATERS_G2,GW,46
relay testing,156.0,BW1_GREENWATERS_G2,GW,46
Pro-rata forced outage: Unit trip during turbine valve testing,312.0,MELK_G7,MELK,46
Pro rata outage due to air compressor issues,297.5,MELK_G7,MELK,47
Pro-rata forced outage delay in return to service,297.5,MELK_G7,MELK,47
"Deviation from commissioning test plan. Contractor tuning requirement
",267.8,AURICON_PNJ_U1,AURICON,49
Full forced outage (pro-rata) due to boiler feed pump trip,295.6,MELK_G7,MELK,49
Unit ramping limited on return to service,266.6,AURICON_PNJ_U1,AURICON,50
Unit run back due to thermocouple fault.,287.6,MELK_G7,MELK,50
Deviation during ramp up from outage,264.9,AURICON_PNJ_U1,AURICON,51
Cooling Tower Top Deck Clean,285.0,MELK_G7,MELK,51
WGP U2 delayed ramp-up due to start failure.,251.6,AURICON_PNJ_U1,AURICON,52
Full outage for boiler inspection and maintenance,270.0,MELK_G7,MELK,52
PNJ U2 start up profile on return to service,250.8,AURICON_PNJ_U1,AURICON,53
Boiler Tube Leak Repairs,266.0,MELK_G7,MELK,53
Output reduced due to ambient conditions,245.3,AURICON_PNJ_U1,AURICON,54
High silica restriction,254.6,MELK_G7,MELK,54
Unit tripped due to blown fuse on blade pass temperature element,242.6,AURICON_PNJ_U1,AURICON,55
No crane available Furnace 1 & 2. For further information contact Simcoa Furnace Control on 9780 6670,123.9,BW1_GREENWATERS_G2,GW,55
Load limitation,249.9,MELK_G7,MELK,55
"MGA MBA81 TL outage, WWF curtailed",232.3,AURICON_PNJ_U1,AURICON,56
Unit 11 trip on gas detector failure,103.0,BW1_GREENWATERS_G2,GW,56
Load Reduction,231.0,MELK_G7,MELK,56
Plant pulsation alarm issue,220.0,AURICON_PNJ_U1,AURICON,57
Kemerton_GT12 tripped on start triggering protection which affected Kemerton_GT11,98.8,BW1_GREENWATERS_G2,GW,57
Operational issue on start up,98.8,BW1_GREENWATERS_G2,GW,57
Boiler Internal Inspection,227.0,MELK_G7,MELK,57
Boiler Maintenance Outage,227.0,MELK_G7,MELK,57
Boiler inspection and repairs - amended by SM on Participant request,227.0,MELK_G7,MELK,57
Condenser Clean,227.0,MELK_G7,MELK,57
Condenser clean,227.0,MELK_G7,MELK,57
GSUT inspection,227.0,MELK_G7,MELK,57
M8 GSUT Inspection,227.0,MELK_G7,MELK,57
MFT / MTR,227.0,MELK_G7,MELK,57
Outage Extension,227.0,MELK_G7,MELK,57
Turbine inspection and repair Outage extension.,227.0,MELK_G7,MELK,57
Turbine inspection and repairs,227.0,MELK_G7,MELK,57
Unit overhaul - Extension,227.0,MELK_G7,MELK,57
Unit overhaul - Includes dual outage with M8,227.0,MELK_G7,MELK,57
Unit overhaul - includes dual outage with M7,227.0,MELK_G7,MELK,57
Unit unavailable for RTS.,227.0,MELK_G7,MELK,57
Unit unavailable for dispatch.,227.0,MELK_G7,MELK,57
Routine inspection,196.8,AURICON_PNJ_U1,AURICON,58
Slow to ramp up,190.6,AURICON_PNJ_U1,AURICON,59
Furnace 1 unplanned outage,88.2,BW1_GREENWATERS_G2,GW,59
A-Inspection + Gen Robotic Inspection+ Filter Change ,190.0,AURICON_PNJ_U1,AURICON,60
A-inspection + Gen robotic inspection + filter change. Previous outage #228920 cancelled due to delays to WGPU1 outage completion,190.0,AURICON_PNJ_U1,AURICON,60
Battery charger fault discovered,190.0,AURICON_PNJ_U1,AURICON,60
Battery charger fault discovered.,190.0,AURICON_PNJ_U1,AURICON,60
Bush fire resulting in faults on transmission lines. Consequential outage to be requested.,190.0,AURICON_PNJ_U1,AURICON,60
Bush fire resulting to faults in transmission lines. Consequential outage to be requested.,190.0,AURICON_PNJ_U1,AURICON,60
Bush fire resulting to faults in transmission lines. Consequential outage to be requested. See outage 225609.,190.0,AURICON_PNJ_U1,AURICON,60
Extension of A-inspection outage,190.0,AURICON_PNJ_U1,AURICON,60
Extension of A-inspection outage workscope,190.0,AURICON_PNJ_U1,AURICON,60
Extension of outage #228336 due to unforeseen workscope overrun,190.0,AURICON_PNJ_U1,AURICON,60
Fault finding on the battery charger.,190.0,AURICON_PNJ_U1,AURICON,60
Investigate rotor temperature alarm,190.0,AURICON_PNJ_U1,AURICON,60
Pre-outage maintenance requirement prior to planned A-inspection outage in July,190.0,AURICON_PNJ_U1,AURICON,60
Routine Maintenance Outage extended - Sequence Release issue,190.0,AURICON_PNJ_U1,AURICON,60
Routine Water Wash (extension),190.0,AURICON_PNJ_U1,AURICON,60
Routine maintenance outage overrun,190.0,AURICON_PNJ_U1,AURICON,60
"The unit failed to start.
",190.0,AURICON_PNJ_U1,AURICON,60
Transfer of Experion control system from Alcoa to Alinta,190.0,AURICON_PNJ_U1,AURICON,60
Transfer of the Experion control system from Alcoa to Alinta,190.0,AURICON_PNJ_U1,AURICON,60
Unable to meet dispatch instruction,190.0,AURICON_PNJ_U1,AURICON,60
"Unable to meet dispatch instruction
",190.0,AURICON_PNJ_U1,AURICON,60
Unable to reach dispatch target issued by Random Number Generator.,190.0,AURICON_PNJ_U1,AURICON,60
Unit failed to start.,190.0,AURICON_PNJ_U1,AURICON,60
WGP U2 not started due to uneconomic short run.,190.0,AURICON_PNJ_U1,AURICON,60
WGP U2 start fail due to fuel drain valve limit switch fault,190.0,AURICON_PNJ_U1,AURICON,60
Western Power is carrying Landwehr Terminal Maintenance which will result in unavailability ,190.0,AURICON_PNJ_U1,AURICON,60
Both units having their Muscle Air Compressors serviced by an external contractor.,82.0,BW1_GREENWATERS_G2,GW,60
"Both units to LOCAL control, run to Crank speed, turn engines and fuel over, no maintenance planned",82.0,BW1_GREENWATERS_G2,GW,60
Crank test both units.,82.0,BW1_GREENWATERS_G2,GW,60
Curtailed to 0MW at the request of Western Power,82.0,BW1_GREENWATERS_G2,GW,60
Curtailed to 0MW at the request of Western Power.,82.0,BW1_GREENWATERS_G2,GW,60
"External contractors replacing diesel return valves, plus run units to FSNL.",82.0,BW1_GREENWATERS_G2,GW,60
Full Speed No Load test run of the engines,82.0,BW1_GREENWATERS_G2,GW,60
"GSU1 oil temp transducer replacement, GSU2 inspected at the same opportunity.",82.0,BW1_GREENWATERS_G2,GW,60
GT Muscle Air Compressor receiver inspection by external contractor. Taking the Muscle Air Compressors out of service takes the units out of availability.,82.0,BW1_GREENWATERS_G2,GW,60
"GT control will be in LOCAL, Caterpillar diesel starter motor annual inspection with Westrac Tech, gas turbines run to FSNL for test.",82.0,BW1_GREENWATERS_G2,GW,60
GT1 and GT2 Boroscope with GE personnel in attendance.,82.0,BW1_GREENWATERS_G2,GW,60
GTG1 and GTG2 turbine inspections and fuel heater pre-winter inspection and test.,82.0,BW1_GREENWATERS_G2,GW,60
Gas Turbine muscle air compressor annual service by external contractor.,82.0,BW1_GREENWATERS_G2,GW,60
"Gas Turbines to LOCAL control, run up to crank speed, packages inspected internally, returned to SOCC control.",82.0,BW1_GREENWATERS_G2,GW,60
"Install upgrade cards in control system, and install replacement sensors in main transformer.",82.0,BW1_GREENWATERS_G2,GW,60
Intertrip from Western Power caused ME breaker 801.1 to open.  Intertrip as a result of a lightning storm in the area.  To be converted to a Consequential Outage.,82.0,BW1_GREENWATERS_G2,GW,60
Merredin PowerStation constrained to 0MW due to issues in WP switchyard.,82.0,BW1_GREENWATERS_G2,GW,60
"Merredin powerstation unavailable due to CB failure at Muju terminal disrupting the 220KV line to eastern goldfields.
Dispatch Advisory ID 16868 ",82.0,BW1_GREENWATERS_G2,GW,60
Periodic maintenance - run to Crank speed only for the engines.,82.0,BW1_GREENWATERS_G2,GW,60
"Place units in LOCAl control, run to Full Speed No Load for periodic testing - no maintenance is planned.",82.0,BW1_GREENWATERS_G2,GW,60
"Place units into LOCAL control, run engines to FSNL, return to SOCC control.",82.0,BW1_GREENWATERS_G2,GW,60
Power Station curtailed to 0MW at the request of Western Power,82.0,BW1_GREENWATERS_G2,GW,60
Pressure safety valve testing and certiification,82.0,BW1_GREENWATERS_G2,GW,60
Replace a faulty network switch,82.0,BW1_GREENWATERS_G2,GW,60
"Run both engines to FSNL for periodic schedule, no maintenance is planned.",82.0,BW1_GREENWATERS_G2,GW,60
Run units to FSNL for periodic routine.,82.0,BW1_GREENWATERS_G2,GW,60
Running the engines to Full Speed No Load for periodic testing - no maintenance is planned.,82.0,BW1_GREENWATERS_G2,GW,60
Starter motor & fire suppressant maintenance,82.0,BW1_GREENWATERS_G2,GW,60
Station 132kV breaker tripped due to 220kV line trip and WP Switching Program error,82.0,BW1_GREENWATERS_G2,GW,60
"Units into LOCAL control, run up to FSNL, and returned to REMOTE when finished.
No maintenance is planned.",82.0,BW1_GREENWATERS_G2,GW,60
Units periodic test run to FSNL - no maintenance is planned.,82.0,BW1_GREENWATERS_G2,GW,60
"Units placed in LOCAL control, run to FSNL, top up starter diesel fuel tanks, return to SOCC control.",82.0,BW1_GREENWATERS_G2,GW,60
"Units placed into LOCAL control, engines run to FSNL only - no maintenance is planned.",82.0,BW1_GREENWATERS_G2,GW,60
"Western Power Enar# 312727
Supply power outage",82.0,BW1_GREENWATERS_G2,GW,60
forced outage due to western power ENAR309085,82.0,BW1_GREENWATERS_G2,GW,60
units unavailable to generate due to maintenance,82.0,BW1_GREENWATERS_G2,GW,60
Bunker conveyor concrete repairs,220.0,MELK_G7,MELK,73
Retirement pending deregistration.,220.0,MELK_G7,MELK,73
Stage AB 3.3kV Station Switchboard Maintenance,220.0,MELK_G7,MELK,73
Cooling Tower Maintenance,219.0,MELK_G7,MELK,76
Repack FW v/v,215.0,MELK_G7,MELK,77
Unit MFT/MTR.,215.0,MELK_G7,MELK,77
Delayed Return To service,211.1,MELK_G7,MELK,79
Opportune Maintenance ,211.1,MELK_G7,MELK,79
Boiler Feed Pump Maintenance,211.0,MELK_G7,MELK,81
Boiler repairs,211.0,MELK_G7,MELK,81
DA repairs,211.0,MELK_G7,MELK,81
Delayed Synchronisation.,211.0,MELK_G7,MELK,81
Feed P/P maintenance,211.0,MELK_G7,MELK,81
Major unit overhaul,211.0,MELK_G7,MELK,81
Major unit overhaul extension,211.0,MELK_G7,MELK,81
Outage to enable PA Duct repairs,211.0,MELK_G7,MELK,81
RTS Delayed,211.0,MELK_G7,MELK,81
RTS Delayed due to Western Power Isolator,211.0,MELK_G7,MELK,81
Unit MTR,211.0,MELK_G7,MELK,81
Unit out of service for Western Power ENAR268961,211.0,MELK_G7,MELK,81
repair sample line,211.0,MELK_G7,MELK,81
Unit had problems ramping up to dispatch target,188.3,AURICON_PNJ_U1,AURICON,86
Unit did not reach target,184.6,AURICON_PNJ_U1,AURICON,87
delayed synchronization due to failure of fuel drain valve close limit switch,177.3,AURICON_PNJ_U1,AURICON,88
WWF curtailed to 0 MW by Western Power for the hardware update for the control system used for SCADA - transmission and generation.,174.9,AURICON_PNJ_U1,AURICON,89
Delayed synch due to breaker fault,167.9,AURICON_PNJ_U1,AURICON,90
Flame out trip during loading for capacity test,164.0,AURICON_PNJ_U1,AURICON,91
Operational issues caused unit trip.,162.1,AURICON_PNJ_U1,AURICON,92
Wagerup U1 slow to ramp due to plant issues,159.7,AURICON_PNJ_U1,AURICON,93
PNJ U1 delayed return to service after outage,158.2,AURICON_PNJ_U1,AURICON,94
BFP Maintenance.,210.0,MELK_G7,MELK,94
Delay in unit ramp-up,157.9,AURICON_PNJ_U1,AURICON,95
Boiler drain line damage,209.0,MELK_G7,MELK,95
Delayed Unit RTS,209.0,MELK_G7,MELK,95
Delays in unit return to service post major outage,209.0,MELK_G7,MELK,95
Low control oil pressure trip,209.0,MELK_G7,MELK,95
Unit slow to ramp to dispatch target following unexpected direction to commit from System Management,156.0,AURICON_PNJ_U1,AURICON,96
Unit derate following load rejection event.,72.0,BW1_GREENWATERS_G2,GW,96
fuel gas control valve issue,152.9,AURICON_PNJ_U1,AURICON,97
WPC requested Newgen Neerabup output reduction requirement for surface pollutant removal at NBT - 24th Jan ,62.0,BW1_GREENWATERS_G2,GW,97
"Issues with ramping up
",152.3,AURICON_PNJ_U1,AURICON,98
Ladle car derailment,58.0,BW1_GREENWATERS_G2,GW,98
Fuel valves issue,151.8,AURICON_PNJ_U1,AURICON,99
Oil leak on Ph1,49.0,BW1_GREENWATERS_G2,GW,99
Unit trip due to hydraulic fault. Pro-rata forced outage,206.0,MELK_G7,MELK,99
Unit did not meet target during ramp-up,148.3,AURICON_PNJ_U1,AURICON,100
Unit trip on start,46.8,BW1_GREENWATERS_G2,GW,100
Furnace Ash Hopper maintenance,205.9,MELK_G7,MELK,100
Gov. repair work,205.9,MELK_G7,MELK,100
"Master Fuel Trip, loss of fuel to feeder",205.9,MELK_G7,MELK,100
Precipitator repairs,205.9,MELK_G7,MELK,100
Unit Trip,205.9,MELK_G7,MELK,100
Unit delay RTS,205.9,MELK_G7,MELK,100
Weekend outage,205.9,MELK_G7,MELK,100
Wind farm tripped,147.1,AURICON_PNJ_U1,AURICON,101
Planned outage to replace Mill feeder belt.,42.5,BW1_GREENWATERS_G2,GW,101
Unit ramp-up,146.4,AURICON_PNJ_U1,AURICON,102
Baghouse Fans electrical trip,42.0,BW1_GREENWATERS_G2,GW,102
CV009 issues,42.0,BW1_GREENWATERS_G2,GW,102
"Chain curtain drive fault, Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",42.0,BW1_GREENWATERS_G2,GW,102
"Chain curtain drive fault, Furnace 2. For further information contact Simcoa Furnace Control on 9780 6670",42.0,BW1_GREENWATERS_G2,GW,102
Furnace 1 - Server communication fault.  For further information contact Simcoa Furnace Control on 9780 6670,42.0,BW1_GREENWATERS_G2,GW,102
Hydraulic hose failure,42.0,BW1_GREENWATERS_G2,GW,102
Mechanical failure experienced on one of the main baghouse fans. Furnace 1&2 affected. For further information contact Simcoa Furnace Control on 9780 6670,42.0,BW1_GREENWATERS_G2,GW,102
"No batching, Furnace 1 and 2. For further information contact Simcoa Furnace Control on 9780 6670",42.0,BW1_GREENWATERS_G2,GW,102
"Remove isolation plates on fan 12. Plant affected, Furnace 1 and 2. 

For further information contact Simcoa Furnace Control on 9780 6670.",42.0,BW1_GREENWATERS_G2,GW,102
Water lines. For further information contact Simcoa Furnace Control on 9780 6670,42.0,BW1_GREENWATERS_G2,GW,102
Western Power Trip,42.0,BW1_GREENWATERS_G2,GW,102
Blade Wash,143.0,AURICON_PNJ_U1,AURICON,103
Bush fire resulting to tripping of tranmission lines. Consequential outage to be requested. See outage #225600,143.0,AURICON_PNJ_U1,AURICON,103
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. See outage 225603.,143.0,AURICON_PNJ_U1,AURICON,103
HRSG High Pressure Drum feed water isolation valves and motor operator valves (MOV) issues.,143.0,AURICON_PNJ_U1,AURICON,103
Major Inspection,143.0,AURICON_PNJ_U1,AURICON,103
PNJ U2 delayed return from Blade Wash Outage due to Steam Leak,143.0,AURICON_PNJ_U1,AURICON,103
Unit trip during RTS from blade wash outage,143.0,AURICON_PNJ_U1,AURICON,103
Unit trip on loss of 330 kV line due to bushfire,143.0,AURICON_PNJ_U1,AURICON,103
Unit tripped during startup coming from outage due to a HH alarm on IP drum level.,143.0,AURICON_PNJ_U1,AURICON,103
3 Day Outage,200.0,MELK_G7,MELK,107
Hardwire trip fault,200.0,MELK_G7,MELK,107
Reduced Load,200.0,MELK_G7,MELK,107
Master fuel trip,196.6,MELK_G7,MELK,110
Turbine CV Issue ,195.0,MELK_G7,MELK,111
Turbine CV Maintenance,195.0,MELK_G7,MELK,111
Late synchronisation due to communications failure between the control room and the unit,136.4,AURICON_PNJ_U1,AURICON,112
unit slow to ramp up,136.2,AURICON_PNJ_U1,AURICON,113
 Gt2 Fire panel fault,41.0,BW1_GREENWATERS_G2,GW,113
Fire Protection Fault,41.0,BW1_GREENWATERS_G2,GW,113
GT1 Fire protection instrument fault,41.0,BW1_GREENWATERS_G2,GW,113
GT1 Main Step Transformer temperature transducer lost signal making the TX unavailable.,41.0,BW1_GREENWATERS_G2,GW,113
GT1 Starter diesel failure to start.,41.0,BW1_GREENWATERS_G2,GW,113
GT1 fire protection panel instrument fault ,41.0,BW1_GREENWATERS_G2,GW,113
GT1 logic issue,41.0,BW1_GREENWATERS_G2,GW,113
"GT1 went unavailable due to Fire System fault again, John from AEMO rang me at 1402 on Saturday 03 December.",41.0,BW1_GREENWATERS_G2,GW,113
GT1 went unavailable due to Fire System fault.,41.0,BW1_GREENWATERS_G2,GW,113
"GT2 Caterpillar starter had issues, required a rebuild.",41.0,BW1_GREENWATERS_G2,GW,113
GT2 fire Panel fault,41.0,BW1_GREENWATERS_G2,GW,113
GT2 unable to synchronize to grid ,41.0,BW1_GREENWATERS_G2,GW,113
GT2 unavailable due to fire protection fault,41.0,BW1_GREENWATERS_G2,GW,113
fire protection fault,41.0,BW1_GREENWATERS_G2,GW,113
Partial forced outage after unit runback caused by CW Pump trip,190.0,MELK_G7,MELK,113
Unit in commissioning. Ramping issue.,135.9,AURICON_PNJ_U1,AURICON,114
Forced partial outage due to failure of CW pump.,187.2,MELK_G7,MELK,114
Late ramp up.,133.8,AURICON_PNJ_U1,AURICON,115
