Total_Number_Outages,Total_Duration_In_Days,Total_Energy_Lost,Outage_Reason,Participant_Code,Facility_Code,Year
1,0.25,335.0,Opportunistic Maintenance (Planned),PMC,PMC_AG,2017
14,9.46,322.0,Scheduled (Planned),STHRNCRS,STHRNCRS_EG,2017
13,4.29,299.0,Forced,STHRNCRS,STHRNCRS_EG,2016
13,8.04,299.0,Scheduled (Planned),STHRNCRS,STHRNCRS_EG,2016
30,13.21,297.0,Consequential,TSLA_MGT,TESLA_PICTON_G1,2016
18,4.65,292.7,Forced,STHRNCRS,STHRNCRS_EG,2017
17,6.96,290.4,Consequential,EUCT,GRASMERE_WF1,2016
7,11.9,262.46,Scheduled (Planned),MUND,MUNDARING_GT1,2017
8,1.21,248.0,Opportunistic Maintenance (Planned),MUND,MUNDARING_GT1,2016
23,7.73,227.7,Consequential,TSLA_MGT,TESLA_PICTON_G1,2017
14,4.52,222.3,Consequential,EUCT,GRASMERE_WF1,2017
8,27.54,221.29,Forced,WGUTD,WEST_KALGOORLIE_GT2,2017
4,0.23,220.0,Scheduled (Planned),MCG,MWF_MUMBIDA_WF1,2017
9,1.94,207.0,Consequential,STHRNCRS,STHRNCRS_EG,2016
6,11.96,198.0,Consequential,WGUTD,WEST_KALGOORLIE_GT2,2016
7,1.85,191.86,Forced,ENRG,ENRG_KALGOORLIE_GT3,2017
4,1.23,169.9,Forced,TSLA_MGT,TESLA_PICTON_G1,2017
5,7.08,168.4,Scheduled (Planned),TRMOS,TIWEST_COG1,2016
4,9.23,168.4,Scheduled (Planned),TRMOS,TIWEST_COG1,2017
15,8.48,161.4,Consequential,ENRG,ENRG_KALGOORLIE_GT3,2016
2,0.5,160.0,Forced,TSLA_MGT,TESLA_PICTON_G1,2016
4,1.48,147.2,Forced,MUND,MUNDARING_GT1,2016
2,0.52,110.0,Consequential,MCG,MWF_MUMBIDA_WF1,2016
2,0.46,94.0,Consequential,MCG,MWF_MUMBIDA_WF1,2017
4,0.96,89.29,Consequential,GW,BW1_GREENWATERS_G2,2017
4,1.9,87.0,Opportunistic Maintenance (Planned),ENRG,ENRG_KALGOORLIE_GT3,2016
2,0.1,72.0,Opportunistic Maintenance (Planned),WGUTD,WEST_KALGOORLIE_GT2,2017
11,64.9,64.8,Forced,EUCT,GRASMERE_WF1,2016
3,0.1,64.8,Forced,EUCT,GRASMERE_WF1,2017
7,1.87,63.8,Consequential,ENRG,ENRG_KALGOORLIE_GT3,2017
1,0.79,55.0,Forced,MCG,MWF_MUMBIDA_WF1,2016
1,1.42,55.0,Scheduled (Planned),MCG,MWF_MUMBIDA_WF1,2016
2,0.04,54.0,Forced,WGUTD,WEST_KALGOORLIE_GT2,2016
2,2.5,50.0,Scheduled (Planned),AUXC,AUXC_WGP,2016
2,0.52,46.0,Consequential,STHRNCRS,STHRNCRS_EG,2017
1,0.6,36.0,Opportunistic Maintenance (Planned),WGUTD,WEST_KALGOORLIE_GT2,2016
1,0.04,36.0,Consequential,WGUTD,WEST_KALGOORLIE_GT2,2017
1,10.58,36.0,Scheduled (Planned),WGUTD,WEST_KALGOORLIE_GT2,2017
1,0.1,26.0,Consequential,AUXC,AUXC_WGP,2017
1,2.88,26.0,Scheduled (Planned),AUXC,AUXC_WGP,2017
1,0.96,25.0,Consequential,AUXC,AUXC_WGP,2016
3,1.04,24.1,Opportunistic Maintenance (Planned),ENRG,ENRG_KALGOORLIE_GT3,2017
1,0.06,23.0,Opportunistic Maintenance (Planned),STHRNCRS,STHRNCRS_EG,2017
12,2.9,17.28,Consequential,DNHR,DNHR_DENMARK_WF1,2017
11,3.12,15.84,Consequential,DNHR,DNHR_DENMARK_WF1,2016
1,0.4,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2016
1,0.48,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2017
1,0.06,0.0,Opportunistic Maintenance (Planned),TRMOS,TIWEST_COG1,2016
