EventID,Start_Time,End_Time,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,
19,2017-12-30 19:30,2018-01-01 19:00,2017,12,MELK_G7,MELK,Approved,Forced,28.977,High silica restriction,
20,2017-12-30 13:00,2017-12-30 14:00,2017,12,MELK_G7,MELK,Approved,Forced,47.108,Turbine governor valve fault,
21,2017-12-29 21:30,2017-12-30 11:30,2017,12,MELK_G7,MELK,Approved,Forced,39.108,High silica restriction,
22,2017-12-20 17:00,2018-01-07 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,1,Reduced generation capability,
23,2017-12-30 16:00,2017-12-30 16:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,12.64,Deviation from resource plan,
24,2017-12-27 17:00,2017-12-27 17:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.29,Deviation from resource plan,
25,2017-12-25 17:00,2017-12-25 17:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.93,Deviation from resource plan,
26,2017-12-25 16:30,2017-12-25 16:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,25.22,Deviation from resource plan,
27,2017-12-25 17:30,2017-12-25 17:30,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,20.92,Deviation from resource plan,
28,2017-12-25 16:30,2017-12-25 16:30,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,22.94,Deviation from resource plan,
29,2017-12-30 9:00,2018-01-03 10:30,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,38.827,Forced outage due to master protective start up lockout alarm,
30,2017-12-31 10:30,2018-01-02 11:00,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to a high vibration alert on power turbine,
31,2017-12-31 10:00,2017-12-31 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,92.88,Forced outage due to a high vibration alert on power turbine,
32,2017-12-31 18:00,2018-01-08 11:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,253.288,Steam turbine rebuild and cold commissioning,
33,2017-12-28 14:00,2017-12-28 14:00,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,32.356,Forced outage due to master protective lockout,
34,2017-12-28 13:30,2017-12-28 13:30,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,19.4,Forced outage due to master protective lockout,
35,2017-12-28 12:00,2017-12-28 12:00,2017,12,PJRH_GT11,PJRH,Approved,Forced,43.3,Forced outage due to a faulty fire damper limit switch,
36,2017-12-28 11:00,2017-12-28 11:00,2017,12,PJRH_GT11,PJRH,Approved,Forced,26,Forced outage due to a faulty fire damper limit switch,
37,2017-12-28 12:30,2017-12-28 10:30,2017,12,PJRH_GT11,PJRH,Approved,Forced,130,Forced outage due to a faulty fire damper limit switch,
38,2017-12-28 12:00,2017-12-28 12:00,2017,12,PJRH_GT11,PJRH,Cancelled By Market Participant,Forced,43.3,Forced outage due to a faulty fire damper limit switch,
39,2017-12-21 15:30,2017-12-21 15:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,18.44,Deviation from resource plan,
40,2017-12-18 20:00,2017-12-18 20:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.8,Deviation from resource plan,
41,2017-12-18 17:30,2017-12-18 17:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,20.92,Deviation from resource plan,
42,2017-12-18 16:30,2017-12-18 16:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,22.94,Deviation from resource plan,
43,2017-12-29 15:30,2017-12-29 17:30,2017,12,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),120,Reduced Load,
44,2017-12-30 0:00,2017-12-30 0:00,2017,12,AUXC_WGP,AUXC,Approved,Forced,12.87,Refinery Issues - Steam/Power Imbalance,
45,2017-12-22 20:00,2017-12-23 1:30,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,23,"KNS GT Tripped on vibration alarm, 4 hour lock out.",
46,2017-12-22 13:00,2017-12-22 13:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,34.411,Output reduced due to ambient conditions,
47,2017-12-23 0:30,2017-12-23 0:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,36.676,Output reduced due to ambient conditions,
48,2017-12-21 9:30,2017-12-21 9:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,19.051,Unit slow to ramp up,
49,2017-12-21 9:00,2017-12-21 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,63.218,Unit slow to ramp up,
50,2017-12-21 8:00,2017-12-21 8:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,119.31,Unit slow to ramp up,
51,2017-12-21 7:30,2017-12-21 7:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
52,2017-12-21 7:00,2017-12-21 7:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
53,2017-12-21 6:30,2017-12-21 6:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
54,2017-12-21 6:00,2017-12-21 6:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
55,2017-12-21 5:30,2017-12-21 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
56,2017-12-21 5:00,2017-12-21 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
57,2017-12-21 4:30,2017-12-21 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
58,2017-12-21 4:00,2017-12-21 4:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
59,2017-12-21 3:30,2017-12-21 3:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
60,2017-12-21 3:00,2017-12-21 3:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
61,2017-12-21 2:30,2017-12-21 2:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
62,2017-12-21 2:00,2017-12-21 2:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
63,2017-12-21 1:30,2017-12-21 1:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
64,2017-12-21 1:00,2017-12-21 1:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
65,2017-12-21 12:30,2017-12-21 12:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
66,2017-12-21 12:00,2017-12-21 12:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
67,2017-12-20 23:30,2017-12-20 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
68,2017-12-20 23:00,2017-12-20 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
69,2017-12-20 22:30,2017-12-20 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
70,2017-12-20 22:00,2017-12-20 22:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
71,2017-12-20 21:30,2017-12-20 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
72,2017-12-20 21:00,2017-12-20 21:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
73,2017-12-20 20:30,2017-12-20 20:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
74,2017-12-20 20:00,2017-12-20 20:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
75,2017-12-20 19:30,2017-12-20 19:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
76,2017-12-20 19:00,2017-12-20 19:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
77,2017-12-20 18:30,2017-12-20 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
78,2017-12-20 18:00,2017-12-20 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
79,2017-12-20 17:30,2017-12-20 17:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
80,2017-12-20 17:00,2017-12-20 17:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
81,2017-12-20 16:30,2017-12-20 16:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
82,2017-12-20 16:00,2017-12-20 16:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
83,2017-12-20 15:30,2017-12-20 15:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
84,2017-12-20 15:00,2017-12-20 15:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
85,2017-12-20 14:30,2017-12-20 14:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
86,2017-12-20 14:00,2017-12-20 14:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
87,2017-12-20 13:30,2017-12-20 13:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
88,2017-12-20 13:00,2017-12-20 13:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
89,2017-12-21 0:30,2017-12-21 0:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
90,2017-12-21 0:00,2017-12-21 0:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
91,2017-12-20 11:30,2017-12-20 11:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
92,2017-12-20 11:00,2017-12-20 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,
93,2017-12-20 10:30,2017-12-20 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,27.866,Full unit trip,
94,2017-12-26 6:00,2017-12-26 6:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.628,Output reduced due to ambient conditions,
95,2017-12-26 5:30,2017-12-26 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.405,Output reduced due to ambient conditions,
96,2017-12-26 5:00,2017-12-26 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.771,Output reduced due to ambient conditions,
97,2017-12-26 4:30,2017-12-26 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.504,Output reduced due to ambient conditions,
98,2017-12-25 18:30,2017-12-25 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.459,Output reduced due to ambient conditions,
99,2017-12-25 18:00,2017-12-25 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.763,Output reduced due to ambient conditions,
100,2017-12-25 17:30,2017-12-25 17:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.444,Output reduced due to ambient conditions,
101,2017-12-25 17:00,2017-12-25 17:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.763,Output reduced due to ambient conditions,
102,2017-12-25 16:30,2017-12-25 16:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,6.539,Output reduced due to ambient conditions,
103,2017-12-25 3:00,2017-12-25 3:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.842,Output reduced due to ambient conditions,
104,2017-12-23 21:30,2017-12-23 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.84,Output reduced due to ambient conditions,
105,2017-12-23 21:00,2017-12-23 21:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.586,Output reduced due to ambient conditions,
106,2017-12-23 20:30,2017-12-23 20:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.137,Output reduced due to ambient conditions,
107,2017-12-23 20:00,2017-12-23 20:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.696,Output reduced due to ambient conditions,
108,2017-12-21 11:00,2017-12-21 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.358,Output reduced due to ambient conditions,
109,2017-12-21 10:30,2017-12-21 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,20.639,Output reduced due to ambient conditions,
110,2017-12-21 9:30,2017-12-21 9:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,13.241,Output reduced due to ambient conditions,
111,2017-12-21 9:00,2017-12-21 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.68,Output reduced due to ambient conditions,
112,2017-12-21 8:30,2017-12-21 8:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,10.234,Output reduced due to ambient conditions,
113,2017-12-20 18:30,2017-12-20 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,7.698,Output reduced due to ambient conditions,
114,2017-12-25 11:30,2017-12-25 11:30,2017,12,AUXC_WGP,AUXC,Approved,Forced,13.74,Plant steam imbalance,
115,2017-12-25 11:00,2017-12-25 11:00,2017,12,AUXC_WGP,AUXC,Approved,Forced,17.26,Plant steam imbalance,
116,2017-12-25 10:30,2017-12-25 10:30,2017,12,AUXC_WGP,AUXC,Approved,Forced,14.01,Steam plant imbalance.,
117,2017-12-18 16:00,2017-12-18 16:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,89.1,Wind farm tripped,
118,2017-12-14 10:30,2017-12-14 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,164.4,Slow to ramp up,
119,2017-12-17 14:30,2017-12-17 14:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,26.17,Slow to ramp up,
120,2017-12-08 15:00,2017-12-08 15:30,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,11,An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity,
121,2017-12-20 18:00,2017-12-20 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,68.16,Partial forced outage due to failed NOx water injection,
122,2017-12-21 9:30,2017-12-21 15:00,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to rectify leaking generator jacking oil system,
123,2017-12-21 13:30,2017-12-21 15:30,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to test trip settings on generator,
124,2017-12-18 15:00,2017-12-19 11:00,2017,12,MELK_G7,MELK,Approved,Forced,18.977,High silica restriction,
125,2017-12-12 15:00,2017-12-13 9:00,2017,12,MELK_G7,MELK,Approved,Forced,26.108,High silica restriction,
126,2017-12-12 10:00,2017-12-12 14:30,2017,12,MELK_G7,MELK,Approved,Forced,33.108,High silica restriction,
127,2017-12-12 0:30,2017-12-12 9:30,2017,12,MELK_G7,MELK,Approved,Forced,41.108,High silica restriction,
128,2017-12-12 0:00,2017-12-12 0:00,2017,12,MELK_G7,MELK,Approved,Forced,36.108,High silica restriction,
129,2017-12-11 11:00,2017-12-11 11:30,2017,12,MELK_G7,MELK,Approved,Forced,31.108,High silica restriction,
130,2017-12-11 6:30,2017-12-11 8:00,2017,12,MELK_G7,MELK,Approved,Forced,31.108,RAH high load,
131,2017-12-09 16:30,2017-12-10 16:30,2017,12,MELK_G7,MELK,Approved,Forced,126.108,ID fan control limitation,
132,2017-12-16 20:30,2017-12-16 20:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.27,Deviation from resource plan,
133,2017-12-16 18:30,2017-12-16 18:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.37,Deviation from resource plan,
134,2017-12-15 15:30,2017-12-15 15:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.84,Deviation from resource plan,
135,2017-12-12 20:30,2017-12-12 20:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,24.06,Deviation from resource plan,
136,2017-12-21 7:30,2017-12-21 10:30,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to switching to rectify faults on Western Power feeder. Site cannot operate without enable signal. Will request conversion to consequential.,
137,2017-12-07 18:00,2017-12-31 17:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,13.288,Steam Turbine rotor maintenace,
138,2017-12-11 13:30,2017-12-11 18:30,2017,12,PMC_AG,PMC,Approved,Consequential,68,"APLD operated, separating PRK_AG from the SWIS",
139,2017-12-11 13:30,2017-12-11 18:00,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Consequential,23,"APLD operated, separating STHRNCRS_EG from the SWIS",
140,2017-12-18 17:00,2017-12-18 17:00,2017,12,KORL_GT3,KORL,Approved,Forced,48.16,Forced outage due to failed to synchronise,
141,2017-12-15 11:30,2017-12-17 7:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,10,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,
142,2017-12-14 19:30,2017-12-15 11:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,14,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,
143,2017-12-14 18:00,2017-12-14 19:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,7,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,
144,2017-12-14 17:00,2017-12-14 17:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,31,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,
145,2017-12-17 8:00,2017-12-17 14:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,"Consequential Outage - Anti-islanding issue caused by stormy weather. Collgar constrained ""to maintain security"" (WP DA#17521 & 17522)",
146,2017-12-14 10:00,2017-12-14 15:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505 & contacted via phone by Control Room to advise that the outage from 13/12/17 would resume)",
147,2017-12-13 16:00,2017-12-13 16:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505)",
148,2017-12-11 13:30,2017-12-11 22:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,Consequential Outage - 220kV line tripped at 13:57 as a result of lightening (WP DA#17502),
149,2017-12-18 10:00,2017-12-18 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,82.56,Forced outage due to communication errors,
150,2017-12-17 18:30,2017-12-18 9:30,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to communication errors,
151,2017-12-17 18:00,2017-12-17 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,58.48,Forced outage due to communication errors,
152,2017-12-18 16:30,2017-12-18 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,44.1,Wind farm output limited,
153,2017-12-18 13:30,2017-12-18 15:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,58,Wind farm tripped,
154,2017-12-17 23:30,2017-12-19 0:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,42.1,Islanded on Tronox Instructions due to Serve Weather.,
155,2017-12-18 8:00,2017-12-18 9:30,2017,12,MELK_G7,MELK,Approved,Forced,208.977,Delayed Unit RTS,
156,2017-12-17 18:00,2017-12-17 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,18.72,Partial Forced outage due to lose of gas compressor,
157,2017-12-17 10:30,2017-12-17 17:30,2017,12,KORL_GT3,KORL,Approved,Forced,43.2,Partial Forced outage due to lose of gas compressor,
158,2017-12-17 17:30,2017-12-17 18:00,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to a Western Power feeder drop out caused by bad weather. Site cannot operate without enable signal. Will request conversion to consequential.,
159,2017-12-17 10:00,2017-12-17 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,27.36,Forced outage due to lose of gas compressor,
160,2017-12-16 4:30,2017-12-17 16:00,2017,12,MELK_G7,MELK,Approved,Forced,78.977,FD fan control limitation,
161,2017-12-17 8:00,2017-12-18 7:30,2017,12,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),130,FD fan inspection and repairs,
162,2017-12-17 8:00,2017-12-18 7:30,2017,12,MELK_G7,MELK,Cancelled By Market Participant,Opportunistic Maintenance (Planned),208.977,FD fan inspection and repairs,
163,2017-12-17 8:00,2017-12-19 17:00,2017,12,MELK_G7,MELK,Cancelled By Market Participant,Scheduled (Planned),83,ID Fan East OOS,
164,2017-12-03 18:00,2017-12-03 18:00,2017,12,PMC_AG,PMC,Approved,Forced,83.75,Operational issues caused real time forced outage.,
165,2017-12-03 14:00,2017-12-03 17:30,2017,12,PMC_AG,PMC,Approved,Forced,84.057,Operational issues caused real time forced outage.,
166,2017-12-04 0:00,2017-12-03 13:30,2017,12,PMC_AG,PMC,Approved,Forced,83.903,Operational issues caused real time forced outage.,
167,2017-12-02 23:30,2017-12-02 23:30,2017,12,PMC_AG,PMC,Approved,Forced,187.837,Operational issues caused real time forced outage.,
168,2017-12-02 22:00,2017-12-02 23:00,2017,12,PMC_AG,PMC,Approved,Forced,252.834,Operational issues caused real time forced outage.,
169,2017-12-02 19:00,2017-12-02 19:00,2017,12,PMC_AG,PMC,Approved,Forced,227.081,Operational issues caused real time forced outage.,
170,2017-12-02 18:30,2017-12-02 18:30,2017,12,PMC_AG,PMC,Approved,Forced,274.142,Operational issues caused real time forced outage.,
171,2017-12-02 14:00,2017-12-02 18:00,2017,12,PMC_AG,PMC,Approved,Forced,334.796,Operational issues caused real time forced outage.,
172,2017-12-08 11:00,2017-12-08 11:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,25.81,Deviation from resource plan,
173,2017-12-11 11:30,2017-12-11 11:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,33.58,Unit did not reach target,
174,2017-12-11 11:00,2017-12-11 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,34.082,Unit did not reach target,
175,2017-12-11 10:00,2017-12-11 10:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,116.929,Unit did not reach target,
176,2017-12-05 16:30,2017-12-05 17:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,10,deviation from resource plan,
177,2017-12-04 12:00,2017-12-04 12:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,16.9,Deviation from resource plan,
178,2017-12-10 14:00,2017-12-10 14:00,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,29.4,TES Report - constrained off MW's.,
179,2017-12-08 17:00,2017-12-09 8:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,68,TES Report - constrained off MW's.,
180,2017-12-08 16:30,2017-12-08 16:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,67.5,TES Report - constrained off MW's.,
181,2017-12-08 16:00,2017-12-08 16:00,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,67.7,TES Report - constrained off MW's.,
182,2017-12-08 15:30,2017-12-08 15:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,67.2,TES Report - constrained off MW's.,
183,2017-12-08 15:00,2017-12-08 15:00,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,67.3,TES Report - constrained off MW's.,
184,2017-12-08 14:30,2017-12-08 14:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,52,TES Report - constrained off MW's.,
185,2017-12-08 13:00,2017-12-08 13:00,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,15.9,TES Report - constrained off MW's.,
186,2017-12-05 6:00,2017-12-05 13:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,56,TES Report - constrained off MW's.,
187,2017-12-05 5:30,2017-12-05 5:30,2017,12,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,42.6,TES Report - constrained off MW's.,
188,2017-12-12 11:30,2017-12-12 11:30,2017,12,AUXC_WGP,AUXC,Approved,Forced,20.65,Refinery issues causing steam & power imbalance.,
189,2017-12-12 11:00,2017-12-12 11:00,2017,12,AUXC_WGP,AUXC,Approved,Forced,18.59,Refinery issues causing steam & power imbalance.,
190,2017-12-15 8:00,2017-12-18 8:00,2017,12,MELK_G7,MELK,Approved,Scheduled (Planned),211.108,Opportune Maintenance ,
191,2017-11-29 11:30,2017-11-29 16:30,2017,11,PERTHENERGY_KORL_GT1,PUG,Approved,Opportunistic Maintenance (Planned),116,GT2B lube oil system vacuum pump retrofit.,
